datetime,A,B,C,D,E,F,G,H,I,J
10/05/2017 0:00,0.048685898,0.10463354,0.023885026,0.078920811,0.052317407,0.043618549,0.061946751,0.05187576,0.038989457,0.047677388
24/05/2017 0:00,0.029319789,0.110738355,0.053245135,0.070061283,0.046241215,0.02535613,0.060153507,0.059524785,0.015977936,0.058877509
23/05/2018 0:00,0.031964303,0.020559939,0.041838911,0.05383741,0.030999642,0.090693256,0.026656665,0.062271137,0.023649759,0.052114404
30/05/2018 0:00,0.019765992,0.048575543,0.034578815,0.03830615,0.051472754,0.048125992,0.032352228,0.05667892,0.055602758,0.060644685
06/06/2018 0:00,0.027536239,0.040248188,0.053047568,0.026138626,0.068355281,0.065460803,0.076853396,0.0405814,0.049628901,0.035309505
13/06/2018 0:00,0.055807208,0.073899331,0.061314309,0.060095156,0.018518459,0.037022891,0.042492679,0.027429607,0.030731815,0.057380455
20/06/2018 0:00,0.017320508,0.041118055,0.029907264,0.035774852,0.037720905,0.029528517,0.037956481,0.043526748,0.033180985,0.092534108
27/06/2018 0:00,0.028828998,0.049493266,0.034294476,0.053594413,0.05659947,0.073753531,0.035839147,0.03691582,0.045825757,0.05443268
04/07/2018 0:00,0.047970419,0.069986983,0.090497667,0.048573255,0.065854081,0.035814957,0.053006551,0.058418985,0.053364574,0.065785848
11/07/2018 0:50,0.049221721,0.052646621,0.072854497,0.029195224,0.069455021,0.053235327,0.018104634,0.046398036,0.074726353,0.045293487
18/07/2018 0:00,0.051666667,0.024855136,0.04351245,0.032285618,0.061341485,0.037140873,0.065887109,0.047099186,0.064954044,0.013838353
25/07/2018 0:00,0.055807208,0.039653009,0.056989278,0.066701033,0.053418162,0.072617721,0.092805801,0.036463452,0.043486907,0.070210002
31/07/2018 0:00,0.051274046,0.03791804,0.072138948,0.037321799,0.02914523,0.038996082,0.054903957,0.07377236,0.039489802,0.105654705